price,ret_1d,adv_rm,momentum_6m,momentum_2w,zscore_5d,realized_vol,above_ma50,name,tv_symbol,sector
0.755,0.0,2464404.2,-0.006329113924050667,-0.019480519480519543,0.3068466969232251,0.2001847967675655,False,Nextgreen Global Bhd,NGGB,Finance
3.7,0.0,4181783.85,0.11940298507462677,-0.018567639257294433,-0.5060492984627001,0.26113419709181296,True,Scientex Bhd.,SCIENTX,Process Industries
2.36,0.026086956521739202,12760576.2,0.6792452830188678,-0.03673469387755113,0.11559496391689932,0.5216893155538685,False,Greatech Technology Bhd.,GREATEC,Producer Manufacturing
0.525,0.0,2140247.875,0.24705882352941178,-0.009433962264150941,-0.43806825860992316,0.17875783612686424,False,Seni Jaya Corp. Bhd.,SJC,Commercial Services
1.94,0.03743315508021383,1849835.25,0.2068965517241379,0.0837988826815641,0.4652195634812959,0.7252684566084053,True,BM GreenTech Bhd,BMGREEN,Producer Manufacturing
1.98,0.01538461538461533,2118089.2,0.004999999999999893,0.01538461538461533,0.917890091917797,0.22663273153411675,True,Axis Real Estate Investment Trust,AXREIT,Finance
1.17,-0.008474576271186418,4096300.9,0.012765957446808418,-0.04878048780487809,-0.32437055504931106,0.4826574582267554,False,Pharmaniaga Bhd.,PHARMA,Distribution Services
2.29,0.03153153153153143,2300376.3,0.5090909090909093,-0.0653061224489796,-0.1638531437574043,0.6545359052652789,False,Kobay Technology Bhd.,KOBAY,Producer Manufacturing
0.255,0.020000000000000018,7737922.15,0.1568627450980391,-0.0892857142857143,-1.6817138819583677,0.41902272960487097,False,Velesto Energy Bhd.,VELESTO,Industrial Services
0.875,0.0,2396665.05,-0.17500000000000004,-0.05405405405405406,-0.8195886675955654,0.35239621272528426,True,Elridge Energy Holdings Berhad,ELRIDGE,Process Industries
0.995,0.03645833333333326,1739310.475,0.4035087719298247,0.20606060606060606,0.15732838196162663,0.7083214890009926,True,CPE Technology Bhd,CPETECH,Producer Manufacturing
2.04,0.0049261083743843415,13263015.6,0.09604519774011289,0.10869565217391308,2.0774809725936807,0.3335066481743638,True,Dialog Group Bhd.,DIALOG,Industrial Services
7.69,0.05631868131868134,25352867.4,0.8095238095238093,0.007863695937090576,0.08083922634019704,0.5016469941776875,True,Vitrox Corp. Bhd.,VITROX,Electronic Technology
2.74,0.007352941176470562,4621044.8,0.03396226415094361,-0.0036363636363635488,-0.19977705417623132,0.25227939968846286,False,IGB Real Estate Investment Trust,IGBREIT,Finance
16.1,0.0,2263116.9,-0.015606242496998934,-0.009840098400983988,0.0040901346026874195,0.17679326136158802,False,Carlsberg Brewery Malaysia Bhd.,CARLSBG,Consumer Non-Durables
0.175,-0.02777777777777779,2146389.85,0.09999999999999987,-0.18604651162790697,-2.672780999493564,0.44563575019777996,False,FSBM Holdings Bhd.,FSBM,Technology Services
5.06,-0.025048169556840194,8204927.7,0.27338129496402863,-0.01747572815533993,0.06022085808659953,0.2025942627313373,False,Gas Malaysia Bhd.,GASMSIA,Utilities
7.91,-0.011249999999999982,106472343.3,0.24707602339181278,0.044914134742404244,0.12492799910199442,0.33598608088968746,False,Press Metal Aluminium Holdings Berhad,PMETAL,Producer Manufacturing
0.765,-0.012903225806451646,7720996.2,-0.12166697408322569,-0.006493506493506551,-0.021998931309977546,0.1888091115839588,False,Hextar Global Bhd.,HEXTAR,Process Industries
0.64,-0.007751937984496138,2204107.5,-0.12121212121212122,-0.06569343065693434,-0.7073940833341096,0.36205592904610345,False,CTOS Digital Bhd,CTOS,Commercial Services
0.64,-0.007751937984496138,1279364.6,-0.07142857142857129,-0.007751937984496138,-0.3512928034095345,0.1244942566482418,False,MBSB Bhd,MBSB,Finance
14.3,0.0,62854465.5,0.1417322834645669,0.0,-0.030187944780341546,0.10329853241853221,False,Tenaga Nasional Bhd,TENAGA,Utilities
1.11,0.0,24909766.6,-0.21301775147928992,-0.0672268907563024,-0.13960975283973076,0.49752884230120503,False,AirAsia Group Bhd.,AAGB,Transportation
6.37,0.006319115323854652,6348704.65,0.02898550724637672,0.040849673202614456,0.09766322106347887,0.34284127519800006,False,Malayan Cement Bhd,MCEMENT,Non-Energy Minerals
1.24,0.024793388429751984,1194050.95,-0.09230769230769242,0.06896551724137945,0.42220831244660084,0.2452299283011727,True,TSH Resources Bhd.,TSH,Non-Energy Minerals
